# 20211019
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
22	T. Antetokounmpo	Mil	BKN	104-127 W	12	2-3	0-0	2-2	4	1	0	1	0	6	14.5
23	C. Anthony	LAL	GS	121-114 L	26	3-9	2-4	1-2	4	2	0	0	1	9	13.8
24	R. Westbrook	LAL	GS	121-114 L	35	4-13	0-4	0-0	5	4	0	0	4	8	12.6
25	M. Monk	LAL	GS	121-114 L	19	2-5	2-4	0-0	3	1	2	0	1	6	12.3
26	J. Harris	BKN	@Mil	104-127 L	31	3-9	3-5	0-0	2	2	0	0	2	9	12.1
27	B. Griffin	BKN	@Mil	104-127 L	23	2-5	0-1	2-2	5	0	1	0	1	6	11.4
28	J. Toscano-Anderson	GS	@LAL	121-114 W	12	2-3	1-2	1-2	3	1	0	0	1	6	10.9
29	A. Bradley	LAL	GS	121-114 L	8	2-3	2-3	0-0	1	1	0	0	1	6	9.9
	K. Bazemore	LAL	GS	121-114 L	31	3-9	2-8	0-0	2	0	0	1	1	8	9.9
# 20211020
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	J. Brown	Bos	@NY	134-138 L	46	16-30	8-14	6-8	9	6	3	1	4	46	73.7
2	J. Morant	Mem	Cle	121-132 W	34	17-29	1-4	2-2	6	6	0	2	2	37	61.2
3	J. Randle	NY	Bos	134-138 W	46	12-27	3-8	8-8	8	9	0	3	7	35	58.4
4	H. Barnes	Sac	@Por	124-121 W	37	10-19	8-11	8-9	9	2	2	0	0	36	57.8
5	Z. LaVine	Chi	@Det	94-88 W	35	11-17	1-5	11-11	7	4	1	1	2	34	57.1
6	C. McCollum	Por	Sac	124-121 L	35	14-24	6-11	0-0	6	5	3	1	5	34	56.9
7	D. Sabonis	Ind	@Cha	122-123 L	39	13-19	4-6	3-4	15	2	0	0	6	33	56.8
8	K. Towns	Min	Hou	106-124 W	29	11-15	3-4	5-5	10	2	2	2	3	30	56.1
9	L. Ball	Cha	Ind	122-123 W	29	11-23	7-9	2-2	9	7	2	0	2	31	55.8
10	E. Fournier	NY	Bos	134-138 W	44	13-25	6-13	0-0	6	3	4	1	1	32	53.3
11	M. Brogdon	Ind	@Cha	122-123 L	40	8-20	3-10	9-9	4	11	0	1	1	28	50.3
12	N. Jokic	Den	@PHX	110-98 W	35	13-22	1-6	0-0	13	2	2	0	3	27	49.0
13	J. Allen	Cle	@Mem	121-132 L	29	11-11	0-0	3-4	4	1	3	3	1	25	47.9
14	R. Holmes	Sac	@Por	124-121 W	29	9-10	1-1	2-3	11	2	1	2	1	21	46.3
15	R. Williams III	Bos	@NY	134-138 L	45	5-5	0-0	6-8	10	3	3	5	0	16	45.1
16	J. Nurkic	Por	Sac	124-121 L	29	6-10	1-1	7-7	14	2	0	1	1	20	42.6
17	C. Duarte	Ind	@Cha	122-123 L	33	9-15	6-9	3-3	5	1	1	0	1	27	41.7
18	A. Edwards	Min	Hou	106-124 W	31	10-21	6-12	3-4	6	3	1	0	4	29	41.6
19	R. Gobert	UTAH	Okc	86-107 W	29	6-9	0-0	4-6	21	0	0	1	1	16	40.7
20	M. Harrell	WSH	@Tor	98-83 W	26	9-11	0-0	4-6	9	1	0	1	0	22	40.6
21	B. Ingram	NO	Phi	117-97 L	37	12-26	1-3	0-0	7	6	0	1	4	25	40.3
22	D. Fox	Sac	@Por	124-121 W	36	9-22	2-8	7-10	5	8	0	1	5	27	40.1
23	E. Mobley	Cle	@Mem	121-132 L	38	7-13	1-2	2-3	9	6	1	1	0	17	39.2
	W. Barton	Den	@PHX	110-98 W	34	8-14	4-8	0-0	6	5	1	0	0	20	39.2
25	J. Poeltl	SA	Orl	97-123 W	30	6-8	0-0	0-0	13	7	0	0	1	12	38.5
26	T. Maxey	Phi	@NO	117-97 W	34	8-14	2-3	2-2	7	5	0	0	1	20	38.0
27	M. Bamba	Orl	@SA	97-123 L	27	6-8	3-4	3-4	4	4	1	4	3	18	38.0
28	J. Embiid	Phi	@NO	117-97 W	26	8-17	2-3	4-6	6	5	1	1	1	22	37.9
29	T. Harris	Phi	@NO	117-97 W	28	8-16	0-2	4-5	12	2	1	0	0	20	37.6
30	M. Robinson	NY	Bos	134-138 W	34	5-5	0-0	1-4	17	3	0	2	1	11	37.2
# 20211021
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	S. Curry	GS	LAC	113-115 W	38	16-25	8-13	5-5	10	1	1	1	6	45	68.7
2	P. George	LAC	@GS	113-115 L	37	12-23	5-11	0-0	11	6	2	0	3	29	54.0
3	T. Herro	Mia	Mil	95-137 W	24	10-18	4-8	3-4	6	5	0	0	2	27	44.2
4	J. Collins	Atl	Dal	87-113 W	30	7-11	2-3	0-0	9	3	2	2	0	16	38.8
5	T. Young	Atl	Dal	87-113 W	33	6-16	2-5	5-5	2	14	0	0	5	19	37.4
6	B. Adebayo	Mia	Mil	95-137 W	23	9-13	0-0	2-5	13	1	1	0	3	20	37.2
7	J. Butler	Mia	Mil	95-137 W	29	6-10	0-0	9-11	4	6	1	0	1	21	37.2
8	E. Bledsoe	LAC	@GS	113-115 L	30	10-16	1-4	1-3	3	2	3	1	0	22	36.6
9	L. Doncic	Dal	@Atl	87-113 L	35	6-17	2-7	4-4	11	7	1	0	5	18	35.5
10	C. Capela	Atl	Dal	87-113 W	21	6-6	0-0	0-1	13	0	0	2	1	12	32.3
11	A. Wiggins	GS	LAC	113-115 W	31	6-15	3-6	2-2	6	3	1	1	2	17	29.0
12	J. Brunson	Dal	@Atl	87-113 L	26	7-13	3-5	0-0	3	3	0	0	0	17	27.9
13	G. Antetokounmpo	Mil	@Mia	95-137 L	23	4-11	1-3	6-10	10	2	3	0	2	15	26.6
14	D. Dedmon	Mia	Mil	95-137 W	15	5-6	1-1	2-2	9	0	0	0	1	13	26.5
15	T. Mann	LAC	@GS	113-115 L	39	4-8	2-4	1-1	8	3	1	0	0	11	26.3
16	C. Reddish	Atl	Dal	87-113 W	21	7-15	3-4	3-3	3	1	1	0	3	20	26.2
17	G. Dieng	Atl	Dal	87-113 W	14	4-5	1-2	0-0	6	2	1	2	0	9	25.3
18	D. Green	GS	LAC	113-115 W	34	4-5	0-0	2-9	6	7	1	0	1	10	24.2
19	P. Tucker	Mia	Mil	95-137 W	22	3-4	2-3	0-0	6	2	1	0	0	8	21.0
20	B. Bogdanovic	Atl	Dal	87-113 W	26	4-8	3-5	0-0	3	2	2	0	2	11	19.7
	I. Zubac	LAC	@GS	113-115 L	17	4-7	0-0	6-10	3	2	0	0	0	14	19.7
22	G. Allen	Mil	@Mia	95-137 L	29	5-11	2-8	2-2	3	1	0	0	1	14	19.4
23	D. Hunter	Atl	Dal	87-113 W	29	5-11	1-3	0-0	3	1	0	2	0	11	18.9
	S. Mamukelashvili	Mil	@Mia	95-137 L	27	4-9	2-4	2-2	4	1	0	0	0	12	18.9
25	T. Hardaway Jr.	Dal	@Atl	87-113 L	28	4-9	2-6	4-4	2	0	1	0	1	14	18.3
26	R. Jackson	LAC	@GS	113-115 L	39	4-19	3-9	0-0	5	6	1	0	1	11	18.2
27	A. Iguodala	GS	LAC	113-115 W	24	2-2	0-0	0-0	6	3	1	1	1	4	17.9
28	K. Looney	GS	LAC	113-115 W	14	2-3	0-0	2-2	7	1	0	1	0	6	17.5
29	P. Connaughton	Mil	@Mia	95-137 L	27	3-6	0-3	0-0	4	4	0	0	1	6	15.5
30	D. Robinson	Mia	Mil	95-137 W	24	3-10	2-8	0-1	6	2	1	0	0	8	15.4
# 20211022
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	N. Jokic	Den	SA	96-102 W	34	14-19	2-2	2-3	16	7	3	1	6	32	68.7
2	M. Turner	Ind	@WSH	134-135 L	44	15-22	5-9	5-8	10	0	1	3	1	40	65.3
3	K. Durant	BKN	@Phi	114-109 W	37	9-20	1-6	10-10	15	12	1	1	2	29	65.0
4	C. Wood	Hou	Okc	91-124 W	33	13-19	4-6	1-1	14	1	1	3	1	31	61.4
5	S. Dinwiddie	WSH	Ind	134-135 W	35	13-24	6-9	2-2	6	9	0	0	1	34	59.6
6	D. Sabonis	Ind	@WSH	134-135 L	43	10-13	2-4	6-8	9	7	0	1	3	28	54.6
7	M. Brogdon	Ind	@WSH	134-135 L	44	12-22	2-4	2-2	8	8	2	1	3	28	54.0
8	L. Ball	Chi	NO	112-128 W	35	6-11	3-8	2-2	10	11	3	1	0	17	50.8
9	C. Paul	PHX	@LAL	115-105 W	29	6-12	1-4	10-10	5	14	2	0	5	23	50.3
10	Z. LaVine	Chi	NO	112-128 W	32	11-19	6-9	4-5	6	5	0	1	6	32	50.0
11	S. Barnes	Tor	@Bos	115-83 W	35	11-17	1-2	2-2	13	2	0	0	1	25	47.3
12	C. Sexton	Cle	Cha	123-112 L	35	13-21	2-7	5-5	4	1	2	0	3	33	47.2
13	B. Ingram	NO	@Chi	112-128 L	34	10-20	2-3	4-5	8	8	0	0	2	26	47.0
14	K. Kuzma	WSH	Ind	134-135 W	39	10-17	5-8	1-2	11	2	1	0	2	26	45.8
15	M. Bridges	Cha	@Cle	123-112 W	35	13-24	4-9	0-0	7	0	3	0	1	30	45.5
16	J. Randle	NY	@Orl	121-96 W	30	9-16	2-6	1-2	10	7	2	0	4	21	43.9
17	H. Barnes	Sac	UTAH	110-101 L	38	9-20	2-6	5-6	15	2	1	0	3	25	43.4
18	K. Johnson	SA	@Den	96-102 L	37	12-18	0-2	3-4	4	2	3	0	1	27	43.3
19	R. Gobert	UTAH	@Sac	110-101 W	32	4-7	0-0	9-10	20	2	2	0	4	17	42.1
20	J. Tate	Hou	Okc	91-124 W	28	6-9	2-2	2-2	14	5	1	0	2	16	41.7
21	A. Davis	LAL	PHX	115-105 L	38	6-18	0-1	10-11	14	3	1	2	2	22	40.7
22	M. Bridges	PHX	@LAL	115-105 W	35	8-11	2-4	3-4	5	3	3	1	1	21	40.5
23	K. Porter Jr.	Hou	Okc	91-124 W	31	7-16	4-8	0-0	3	10	2	2	2	18	40.2
24	L. Aldridge	BKN	@Phi	114-109 W	23	10-12	0-1	3-3	5	0	0	2	0	23	40.0
25	K. Oubre Jr.	Cha	@Cle	123-112 W	27	9-13	4-7	3-3	3	1	1	0	0	25	39.0
26	S. Curry	Phi	BKN	114-109 L	36	9-12	4-4	1-2	4	0	1	2	0	23	38.9
27	T. Harris	Phi	BKN	114-109 L	37	10-20	3-4	0-0	7	4	0	0	1	23	38.4
28	J. Embiid	Phi	BKN	114-109 L	30	6-15	2-5	5-6	8	4	2	4	3	19	38.4
29	D. DeRozan	Chi	NO	112-128 W	32	9-20	0-2	8-9	6	4	0	0	1	26	38.3
30	J. Valanciunas	NO	@Chi	112-128 L	33	8-11	0-0	2-2	8	3	0	1	0	18	37.7
# 20211023
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	P. George	LAC	Mem	120-114 L	35	15-25	5-12	6-6	10	4	2	0	3	41	67.5
2	L. Doncic	Dal	@Tor	103-95 W	39	11-24	2-10	3-5	9	12	0	1	5	27	51.5
3	J. Valanciunas	NO	@Min	89-96 L	36	6-10	0-0	8-8	17	2	3	1	1	20	48.3
4	R. Rubio	Cle	Atl	95-101 W	35	9-15	3-7	2-2	6	8	1	0	3	23	45.3
5	C. McCollum	Por	PHX	105-134 W	30	10-19	6-11	2-2	3	1	1	3	2	28	42.5
6	J. Morant	Mem	@LAC	120-114 W	35	10-19	2-7	6-8	2	8	1	0	5	28	42.4
7	N. Vucevic	Chi	Det	82-97 W	33	6-16	1-4	2-2	19	3	2	3	2	15	42.0
8	G. Antetokounmpo	Mil	@SA	121-111 W	30	7-15	1-2	6-8	8	8	0	3	5	21	41.9
9	B. Ingram	NO	@Min	89-96 L	40	12-23	3-7	3-5	6	4	1	0	7	30	41.6
10	D. McDermott	SA	Mil	121-111 L	32	9-13	7-11	0-0	4	2	0	0	0	25	41.1
11	E. Mobley	Cle	Atl	95-101 W	35	7-12	0-2	3-3	11	1	2	4	1	17	40.1
12	S. Bey	Det	@Chi	82-97 L	34	8-16	1-5	3-3	16	1	1	1	4	20	39.9
13	T. Herro	Mia	@Ind	91-102 L	41	12-28	3-12	3-3	10	0	0	0	3	30	39.4
14	S. Adams	Mem	@LAC	120-114 W	27	6-9	0-0	5-5	9	5	2	0	1	17	39.2
15	T. Hardaway Jr.	Dal	@Tor	103-95 W	39	9-16	7-11	0-0	3	2	1	0	0	25	38.7
16	D. Melton	Mem	@LAC	120-114 W	33	9-16	4-8	0-0	7	2	0	0	0	22	37.2
17	O. Anunoby	Tor	Dal	103-95 L	32	9-15	5-9	0-0	4	0	2	2	2	23	37.1
18	K. Middleton	Mil	@SA	121-111 W	35	9-17	2-7	8-9	2	3	2	0	6	28	36.8
19	D. Sabonis	Ind	Mia	91-102 W	43	8-17	0-3	1-2	12	4	4	0	3	17	36.8
20	K. Towns	Min	NO	89-96 W	29	10-20	3-6	2-2	4	2	0	3	5	25	36.5
21	T. Young	Atl	@Cle	95-101 L	35	8-22	1-6	7-7	1	7	3	0	2	24	35.5
22	B. Adebayo	Mia	@Ind	91-102 L	39	6-15	0-0	5-6	16	3	1	1	5	17	35.4
23	D. DeRozan	Chi	Det	82-97 W	34	7-18	0-1	7-9	6	6	0	2	2	21	35.2
24	A. Edwards	Min	NO	89-96 W	37	8-22	3-8	0-0	9	5	1	1	1	19	35.0
25	J. Jackson Jr.	Mem	@LAC	120-114 W	31	6-11	3-5	6-6	7	0	1	1	1	21	34.7
26	D. Lillard	Por	PHX	105-134 W	24	6-11	2-7	5-5	1	8	0	0	2	19	34.1
	D. Booker	PHX	@Por	105-134 L	28	9-19	2-5	1-2	4	4	2	0	0	21	34.1
28	M. Brogdon	Ind	Mia	91-102 W	41	5-19	0-7	8-8	14	4	0	2	4	18	33.4
29	K. Porzingis	Dal	@Tor	103-95 W	29	7-20	2-9	2-3	10	1	1	4	0	18	33.3
30	D. White	SA	Mil	121-111 L	31	6-12	1-5	1-1	2	8	4	1	2	14	33.2
# 20211024
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	J. Morant	Mem	@LAL	118-121 L	38	13-21	5-7	9-11	3	10	3	0	6	40	65.6
2	C. Anthony	Orl	@NY	110-104 W	35	9-16	5-9	6-7	16	8	1	0	1	29	63.1
3	K. Durant	BKN	Cha	111-95 L	36	17-24	2-6	2-2	5	3	1	0	3	38	59.0
4	M. Bridges	Cha	@BKN	111-95 W	35	9-16	3-5	11-12	9	2	2	1	0	32	54.1
5	J. Randle	NY	Orl	110-104 L	38	8-24	2-10	12-14	16	3	2	4	2	30	54.0
6	S. Gilgeous-Alexander	Okc	Phi	115-103 L	39	9-19	1-6	10-12	6	8	1	1	2	29	49.6
7	J. Green	Hou	Bos	107-97 L	36	11-18	8-10	0-0	4	3	1	2	3	30	49.3
8	S. Curry	GS	@Sac	119-107 W	35	9-23	4-15	5-6	7	10	3	0	3	27	49.2
9	J. Tatum	Bos	@Hou	107-97 W	37	12-24	4-11	3-4	9	2	1	1	1	31	48.9
10	J. Embiid	Phi	@Okc	115-103 W	33	8-15	2-5	4-6	9	6	1	3	0	22	47.4
11	C. Anthony	LAL	Mem	118-121 W	28	10-15	6-8	2-2	3	1	1	2	0	28	45.7
12	S. Curry	Phi	@Okc	115-103 W	34	9-15	7-10	3-4	3	3	1	0	0	28	43.9
13	J. Giddey	Okc	Phi	115-103 L	34	8-13	1-2	2-3	8	7	4	0	2	19	43.6
14	S. Adams	Mem	@LAL	118-121 L	34	7-11	0-0	0-0	16	6	0	0	4	14	39.4
15	A. Davis	LAL	Mem	118-121 W	34	8-15	1-3	5-7	8	2	0	4	3	22	38.9
16	D. Rose	NY	Orl	110-104 L	29	9-16	5-8	0-1	5	3	2	0	2	23	37.9
17	J. Poole	GS	@Sac	119-107 W	32	8-16	2-5	4-4	3	3	3	1	2	22	35.8
18	R. Holmes	Sac	GS	119-107 L	32	7-10	0-0	2-2	11	1	0	2	1	16	35.6
19	L. James	LAL	Mem	118-121 W	40	7-19	4-9	1-2	6	6	2	2	3	19	35.0
20	A. Horford	Bos	@Hou	107-97 W	30	4-12	1-6	8-9	10	1	3	3	1	17	34.2
21	H. Barnes	Sac	GS	119-107 L	36	7-13	5-10	5-8	7	1	0	0	3	24	33.9
22	T. Ross	Orl	@NY	110-104 W	31	6-11	2-6	8-9	1	3	2	0	0	22	33.4
23	R. Westbrook	LAL	Mem	118-121 W	37	5-15	1-4	2-4	7	13	4	0	9	13	32.3
24	L. Ball	Cha	@BKN	111-95 W	26	8-18	1-6	1-1	5	5	0	1	0	18	32.2
25	D. Mitchell	Sac	GS	119-107 L	32	9-16	3-8	1-2	1	4	0	0	2	22	31.6
26	D. Bane	Mem	@LAL	118-121 L	31	7-15	2-7	1-1	5	4	2	0	1	17	30.8
27	C. Wood	Hou	Bos	107-97 L	36	5-14	2-4	8-10	9	1	1	0	0	20	30.6
28	G. Williams	Bos	@Hou	107-97 W	31	6-8	5-7	1-2	3	2	0	0	0	18	30.2
29	D. Schroder	Bos	@Hou	107-97 W	33	7-14	1-4	3-4	5	5	1	0	4	18	30.1
30	W. Carter Jr.	Orl	@NY	110-104 W	31	5-8	1-3	0-0	9	1	1	4	2	11	29.7
# 20211025
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	J. Tatum	Bos	@Cha	140-129 W	41	14-28	6-12	7-7	7	8	0	1	2	41	66.8
2	K. Towns	Min	NO	107-98 L	40	10-24	4-10	8-8	14	7	2	2	3	32	61.3
3	G. Antetokounmpo	Mil	@Ind	119-109 W	36	10-18	0-2	10-13	10	9	1	2	2	30	58.7
4	J. Butler	Mia	Orl	90-107 W	33	15-21	0-0	6-6	3	2	5	0	1	36	57.8
5	T. Young	Atl	Det	104-122 W	32	13-21	2-5	4-4	4	9	1	0	2	32	56.8
6	J. Brown	Bos	@Cha	140-129 W	38	12-20	3-7	3-4	9	3	3	1	3	30	52.6
7	J. Valanciunas	NO	@Min	107-98 W	39	7-18	0-0	8-8	23	3	0	2	1	22	51.5
8	N. Jokic	Den	Cle	99-87 L	35	9-15	1-4	5-6	19	3	3	0	6	24	51.2
9	J. Allen	Cle	@Den	99-87 W	37	10-11	0-0	1-3	16	2	0	0	0	21	47.7
10	K. Middleton	Mil	@Ind	119-109 W	32	9-17	2-3	7-8	5	7	1	1	5	27	45.3
11	D. Sabonis	Ind	Mil	119-109 L	37	8-13	0-2	5-6	13	5	1	0	3	21	44.4
12	D. Schroder	Bos	@Cha	140-129 W	36	6-14	4-9	7-8	6	8	0	1	1	23	43.5
13	A. Edwards	Min	NO	107-98 L	40	10-23	4-11	4-4	9	3	1	0	3	28	42.7
14	F. VanVleet	Tor	Chi	111-108 L	43	6-13	1-4	2-2	6	17	2	0	8	15	42.6
15	M. Bridges	Cha	Bos	140-129 L	38	11-22	2-10	1-1	10	3	1	0	2	25	42.3
16	K. Durant	BKN	WSH	90-104 W	35	9-17	1-2	6-9	8	4	2	0	1	25	42.1
17	L. Kennard	LAC	Por	86-116 W	24	8-10	6-7	1-1	4	3	0	1	1	23	41.6
18	O. Anunoby	Tor	Chi	111-108 L	38	8-17	4-8	2-2	8	5	2	0	2	22	40.9
19	L. Ball	Cha	Bos	140-129 L	33	7-19	7-14	4-4	5	9	0	0	6	25	40.3
20	B. Ingram	NO	@Min	107-98 W	36	11-21	4-7	1-1	9	1	0	0	4	27	39.9
21	D. DeRozan	Chi	@Tor	111-108 W	36	7-19	2-4	10-10	5	6	0	0	2	26	38.9
22	R. Williams III	Bos	@Cha	140-129 W	36	5-7	0-0	2-4	16	4	0	3	2	12	38.7
23	J. Collins	Atl	Det	104-122 W	24	9-14	1-3	3-5	7	2	2	1	4	22	37.1
24	S. Bey	Det	@Atl	104-122 L	33	8-16	3-8	2-2	7	3	2	0	2	21	36.4
25	M. Brogdon	Ind	Mil	119-109 L	37	10-21	2-4	3-4	4	7	0	0	7	25	36.1
26	Z. LaVine	Chi	@Tor	111-108 W	35	7-16	3-7	5-5	4	5	1	0	2	22	35.2
27	D. Graham	NO	@Min	107-98 W	39	8-16	1-6	4-4	3	7	1	0	4	21	35.1
28	K. Olynyk	Det	@Atl	104-122 L	30	8-15	2-5	3-5	6	4	2	0	3	21	35.1
29	T. Mann	LAC	Por	86-116 W	25	5-6	1-2	2-2	5	5	4	1	1	13	34.9
30	B. Adebayo	Mia	Orl	90-107 W	29	4-9	0-0	8-8	13	2	1	0	0	16	34.8
# 20211026
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	A. Davis	LAL	@SA	125-121 W	42	15-31	0-4	5-6	17	4	0	4	2	35	64.5
2	R. Westbrook	LAL	@SA	125-121 W	40	15-27	1-4	2-4	10	8	3	0	3	33	59.9
3	D. Murray	SA	LAL	125-121 L	40	9-24	2-4	1-4	12	15	2	2	2	21	53.3
4	J. Poeltl	SA	LAL	125-121 L	38	13-17	0-0	1-5	14	0	1	3	2	27	51.7
5	L. Doncic	Dal	Hou	106-116 W	34	10-25	1-6	5-5	14	7	2	1	4	26	50.2
6	T. Harris	Phi	@NY	99-112 L	33	10-18	2-6	1-1	9	9	0	0	1	23	48.8
7	N. Jokic	Den	@UTAH	110-122 L	15	8-9	3-3	5-7	6	6	0	0	1	24	46.1
8	S. Gilgeous-Alexander	Okc	GS	106-98 L	36	11-19	4-5	4-5	1	4	1	0	1	30	43.7
9	R. Gobert	UTAH	Den	110-122 W	33	7-8	0-0	9-16	16	0	0	1	4	23	40.5
10	L. Walker IV	SA	LAL	125-121 L	31	7-10	5-7	2-2	2	6	0	0	2	21	37.6
11	S. Curry	GS	@Okc	106-98 W	32	6-14	4-9	7-7	6	4	0	1	4	23	36.6
12	A. Wiggins	GS	@Okc	106-98 W	31	9-17	0-5	3-5	4	4	3	1	2	21	35.4
13	J. Randle	NY	Phi	99-112 W	36	7-18	2-5	0-0	11	7	0	0	1	16	35.3
14	E. Gordon	Hou	@Dal	106-116 L	27	7-11	3-5	5-6	1	2	2	1	0	22	35.0
15	K. Walker	NY	Phi	99-112 W	28	7-15	5-11	0-0	3	5	2	1	1	19	34.8
16	C. Wood	Hou	@Dal	106-116 L	37	6-16	2-6	2-4	17	3	0	0	3	16	33.0
17	A. Gordon	Den	@UTAH	110-122 L	34	9-13	0-3	2-4	7	1	1	1	4	20	32.7
18	E. Fournier	NY	Phi	99-112 W	32	6-10	4-6	2-2	2	4	0	1	0	18	32.3
19	D. Green	GS	@Okc	106-98 W	32	3-4	1-1	1-2	9	8	3	1	4	8	32.0
20	J. Brunson	Dal	Hou	106-116 W	28	4-8	1-4	2-2	4	11	1	0	2	11	31.8
21	W. Barton	Den	@UTAH	110-122 L	37	9-16	1-3	2-4	4	3	1	1	4	21	31.6
22	D. Vassell	SA	LAL	125-121 L	35	7-16	5-9	0-2	7	2	2	0	0	19	31.5
23	D. Mitchell	UTAH	Den	110-122 W	34	9-20	1-9	3-3	2	6	1	0	5	22	31.4
24	J. Ingles	UTAH	Den	110-122 W	28	4-6	3-5	2-2	5	4	1	1	0	13	30.4
	M. Morris	Den	@UTAH	110-122 L	35	8-13	3-3	0-0	0	4	1	0	1	19	30.4
26	M. Conley	UTAH	Den	110-122 W	30	6-9	3-5	0-0	2	5	1	1	2	15	30.1
27	D. Theis	Hou	@Dal	106-116 L	29	5-11	3-4	2-2	10	1	0	1	1	15	29.3
28	D. Lee	GS	@Okc	106-98 W	26	8-14	4-7	0-0	3	1	0	0	1	20	28.9
29	K. Porter Jr.	Hou	@Dal	106-116 L	31	4-10	2-6	3-4	5	8	2	0	6	13	27.2
30	J. Clarkson	UTAH	Den	110-122 W	24	7-15	3-10	2-2	3	1	0	0	0	19	26.0
# 20211027
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	G. Antetokounmpo	Mil	Min	113-108 L	35	15-23	3-6	7-9	16	7	0	3	2	40	78.9
2	D. Ayton	PHX	Sac	110-107 L	34	9-12	0-0	3-4	21	1	1	1	1	21	51.7
3	F. VanVleet	Tor	Ind	100-118 W	37	10-18	6-7	0-0	10	6	1	0	3	26	49.9
4	D. Booker	PHX	Sac	110-107 L	37	12-28	2-6	5-6	6	8	1	0	0	31	49.9
5	T. Young	Atl	@NO	102-99 W	36	13-27	2-6	3-3	5	7	0	0	3	31	47.3
6	M. Harrell	WSH	@Bos	116-107 W	38	10-13	0-0	5-7	11	1	0	2	1	25	46.8
7	R. Westbrook	LAL	@Okc	115-123 L	35	8-20	2-8	2-3	14	13	1	0	10	20	45.3
8	A. Davis	LAL	@Okc	115-123 L	37	12-22	0-1	6-7	8	2	1	0	2	30	45.1
9	G. Hayward	Cha	@Orl	120-111 W	37	9-13	2-3	4-4	5	5	2	1	4	24	44.4
